test_family,pole,pole_lat,obs_count,marios_assignment_count,uncond_null_mean,uncond_null_std,p_raw_uncond,p_sidak_uncond,cond_null_mean,cond_null_std,p_raw_cond,p_sidak_cond
5-pole (primary),I (current),90.0,95,163,84.354,3.116582102239567,0.0005999400059994001,0.002996102908593423,102.7715,2.0067106791961815,1.0,1.0
5-pole (primary),II,76.0,115,208,43.745,5.794685064781347,9.999000099990002e-05,0.0004998500349930879,85.9162,6.856615605384336,9.999000099990002e-05,0.0004998500349930879
5-pole (primary),III,72.2,119,170,42.8839,5.85189036038783,9.999000099990002e-05,0.0004998500349930879,83.7749,7.107603674235079,9.999000099990002e-05,0.0004998500349930879
5-pole (primary),IV,64.1,70,191,32.4699,5.294421025003584,9.999000099990002e-05,0.0004998500349930879,63.7289,6.82939271019027,0.19668033196680332,0.6654646618453679
5-pole (primary),V,52.3,57,262,20.9391,4.176001818725657,9.999000099990002e-05,0.0004998500349930879,42.2156,5.693989518782064,0.008999100089991,0.044192917506234
6-pole (sensitivity),I (current),90.0,95,163,84.354,3.116582102239567,0.0005999400059994001,0.0035942454325958995,102.7715,2.0067106791961815,1.0,1.0
6-pole (sensitivity),II,76.0,115,208,43.745,5.794685064781347,9.999000099990002e-05,0.0005997900559875369,85.9162,6.856615605384336,9.999000099990002e-05,0.0005997900559875369
6-pole (sensitivity),III,72.2,119,170,42.8839,5.85189036038783,9.999000099990002e-05,0.0005997900559875369,83.7749,7.107603674235079,9.999000099990002e-05,0.0005997900559875369
6-pole (sensitivity),IV,64.1,70,191,32.4699,5.294421025003584,9.999000099990002e-05,0.0005997900559875369,63.7289,6.82939271019027,0.19668033196680332,0.7312611832082478
6-pole (sensitivity),V,52.3,57,158,20.9391,4.176001818725657,9.999000099990002e-05,0.0005997900559875369,42.2156,5.693989518782064,0.008999100089991,0.05279432110831772
6-pole (sensitivity),VI,42.0,17,104,6.6672,2.5333069612662418,9.999000099990002e-05,0.0005997900559875369,13.2546,3.454501243305609,0.1710828917108289,0.6756106259833659
